name,cuisine,area
Misi,Italian,Brooklyn
Cafeteria,American
Momoya,Sushi,Chelsea
Cacio e Vino,Italian,East Village
Cacio e Pepe,Italian,East Village
Mimi Chengs,Dumplings,East Village
Lil Frankies,Italian,East Village
Bar Primi,Italian,East Village
Ghost Donkey,Mexican,East Village
Boulton and Watt,American,East Village
Rosie's,Mexican,East Village
Thursday Kitchen,Korean,East Village
Clinton Street Baking Co.,Breakfast/Brunch,East Village
Industry Kitchen,Pizza,Fidi
Keste,Pizza,Fidi
Kazu Nori,Sushi,Flatiron
Scarpetta,Italian,Flatiron
Marta,Italian,Flatiron
Norma,Italian,Kips Bay
Bozu,Sushi,Williamsburg
Speedy Romeo,Pizza,Lower East Side
Gran Electrica,Mexican,Dumbo
Gelso and Grand,Italian,Little Italy
Room Service,Thai,Hells Kitchen
Emilio's,Italian,Little Italy
Vanessa's Dumplings,Dumplings,Lower East Side
Mezetto,Mediterranean,Lower East Side
Tijuana Pinic,Mexican,Lower East Side
Russ and Daughters Cafe,Breakfast/Brunch,Lower East Side
Hummus Kitchen,Israeli,Hells Kitchen
Sweet Chick,American,Lower East Side
Restoration Hardware,American,Meatpacking
Maison Premiere,French,Williamsburg
Sushi by Bou,Sushi,Midtown East
12 Chairs Cafe,Israeli,Williamsburg
Obao,Thai,Midtown East
Empellon Al Pastor,Mexican,Midtown East
Sofias,Italian,Midtown East
Samurai Mama,Sushi,Williamsburg
Crave Fishbar,Seafood,Midtown East
La Memoria,Italian,Midtown East
Di Faras,Pizza,Midwood
Hells Kitchen,Mexican,Hells Kitchen
El Rio Grande,Mexican,Murray Hill
Penelopes,Breakfast,Murray Hill
Agave	Mexican,West Village
Vic's,Italian,Noho
Sugarfish,Sushi,Soho
Charlie Bird,Italian,Soho
Extra Virgin,Italian,West Village
The Waverly Inn,American,West Village
Caffe Buon Gusto,Italian,Upper East Side
Felice 64,Italian,Upper East Side
Maya,Mexican,Upper East Side
Egg Shop,Breakfast,Nolita
Miss Lilys,Jamaican,Lower East Side
Kikis,Greek,Lower East Side
JG Melon,Burgers,Upper East Side
Uva,Italian,Upper East Side
Jacobs Pickles,American,Upper West Side
Sushi of Gari,Sushi,Upper East Side
Rosemarys,Italian,West Village
Jacks Wife Freida,Mediterranean,Soho
The Butchers Daughter,Vegan,West Village
Sunday In Brooklyn,Breakfast,Williamsburg
Shuka,Mediterranean,West Village
Ofrenda,Mexican,West Village
Sushi Katsuei,Sushi,West Village
Mermaid Oyster Bar,Seafood,West Village
Emily's,Pizza,West Village
Emmy Squared,Pizza,East Village
Robertas,Pizza,Williamsburg
Lilia,Italian,Williamsburg
